,team,player,position,to,hall_of_fame,all_pro,pro_bowl,starter,carAV,drAV,games,pass_comp,pass_att,pass_yards,pass_tds,pass_int,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,interceptions,sacks,tackles
8707,WAS,Heath Shuler,QB,1997.0,False,0,0,2,6.0,6.0,29.0,292.0,593.0,3691.0,15.0,33.0,67.0,198.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8708,NWE,Willie McGinest,DE,2008.0,False,0,2,13,75.0,66.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,86.0,581.0
8709,IND,Trev Alberts,LB,1996.0,False,0,0,0,4.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,49.0
8710,TAM,Trent Dilfer,QB,2007.0,False,0,1,7,51.0,39.0,130.0,1759.0,3172.0,20518.0,113.0,129.0,248.0,853.0,5.0,2.0,-6.0,0.0,0.0,0.0,0.0
8711,SFO,Bryant Young,DT,2007.0,True,1,4,14,87.0,87.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,519.0
8712,SEA,Sam Adams,DT,2007.0,False,0,3,12,76.0,21.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,308.0
8713,CLE,Antonio Langham,DB,2000.0,False,0,0,4,34.0,17.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,316.0
8714,ARI,Jamir Miller,LB,2001.0,False,1,1,7,45.0,21.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,481.0
8715,CHI,John Thierry,DE,2002.0,False,0,0,6,33.0,13.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,163.0
8716,NYJ,Aaron Glenn,DB,2008.0,False,0,3,11,82.0,61.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,548.0
8717,NOR,Joe Johnson,DE,2003.0,False,0,2,7,50.0,46.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,318.0
8718,PHI,Bernard Williams,OT,1994.0,False,0,0,1,9.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8719,RAM,Wayne Gandy,OT,2008.0,False,0,0,13,76.0,19.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8720,GNB,Aaron Taylor,G,1999.0,False,0,0,5,38.0,29.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8721,PIT,Charles Johnson,WR,2002.0,False,0,0,7,38.0,28.0,133.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,354.0,4606.0,24.0,0.0,0.0,10.0
8722,MIN,Dewayne Washington,DB,2005.0,False,0,0,11,76.0,23.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,712.0
8723,MIN,Todd Steussie,OT,2007.0,False,0,2,12,82.0,62.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8724,MIA,Tim Bowens,DT,2004.0,False,0,2,10,63.0,63.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,303.0
8725,DET,Johnnie Morton,WR,2005.0,False,0,0,11,70.0,49.0,182.0,0.0,0.0,0.0,0.0,0.0,46.0,404.0,0.0,624.0,8719.0,43.0,0.0,0.0,0.0
8726,RAI,Rob Fredrickson,LB,2002.0,False,0,0,9,43.0,20.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,544.0
8727,DAL,Shante Carver,DE,1997.0,False,0,0,2,15.0,15.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,55.0
